"Title","DLL Identifier (Work)","DLL Identifier (Author)"
"hypomnesticon vulgo libri hypognosticon","W2188","A5497"
"epistola ad valerium comitem","W2164","A5497"
"de vera et falsa poenitentia ad christum devotam","W2153","A5497"
"de tempore barbarico","W2145","A5497"
"sermo in pervigilio paschae de esu agni","W2149","A5497"
"sermo de obedientia et humilitate","W2166","A5497"
"psalterium","W2169","A5497"
"liber sententiarum xxi/ viginti unius sententiarum","W2172","A5497"
"excerpta et scripta vetera ad donatistarum historiam pertinentia","W2177","A5497"
"sermones ad populum. classis iii. de sanctis","W2138","A5497"
"sermo de rusticiano subdiacono","W2139","A5497"
"opusculum ii sive liber de quatuor virtutibus charitatis","W2146","A5497"
"in psalmum xli ad neophytos","W2148","A5497"
"de summa fidei","W3981","A5418"
"de grammatica","W5021","A5497"
"interpretatio mystica progenitorum christi","W4121","A5449"
"carmen ad rotbertum regem","W3974","A5418"
"rythmus satiricus","W3934","A5418"
"vita sancti simeonis","W2577","A5455"
"annotationes in quaedam evangeliorum loca","W2528","A5481"
"de peccato originali libri dvo","W2219","A5497"
"de incarnatione verbi ad januarium; ex origenis opere peri archon","W2198","A5497"
"de miraculis sancti stephani protomartyris","W2210","A5497"
"de contritione cordis","W2196","A5497"
"de consolatione mortuorum [incertus. joannes chrisostomus]","W2157","A5497"
"de altercatione ecclesiae et synagogae dialogus","W2159","A5497"
"contra partem donati post gesta","W2184","A5497"
"cognitio vitate","W2162","A5497"
"de mirabilibus sacrae scripturae","W2202","A5497"
"de benedictionibus jacob patriarchae","W2189","A5497"
"de actis cum felice manichaeo","W2152","A5497"
"contra secundum juliani responsionem imperfectum","W2190","A5497"
"commonitorium","W2170","A5497"
"ad valentinum epistolae duae cum subsequente libro transmissae","W2187","A5497"
"de antichristo","W2180","A5497"
"de amicitia","W2167","A5497"
"categoriae decem ex aristotele decerpatae","W2155","A5497"
"ad donatistas post collationem","W2173","A5497"
"de cantico novo","W2150","A5497"
"adversus quinque haereses","W2147","A5497"
"vita sancti basili","W2085","A5458"
"vita sanctae columbae","W1656","A5424"
"versus de cuculo","W394","A5450"
"epitaphium","W409","A5450"
"conflictus veris et hiemi","W363","A5450"
"cella alcuini","W395","A5450"
"de luscinia","W339","A5450"
"fondatio abbatiae","W253","A5364"
"ad armenium epistola 'de ratione fidei'","W265","A5470"
"sequentia de sancto michaele","W386","A5450"
"commentum terentii","W2071","A5426"
"explanatio eorundem nominum ab eodem compilata","W4143","A5449"
"de quarta feria sive de cultura agri dominici","W5018","A5497"
"cosmographia","W128","A3479"
"grammatica?","W1106","A3568"
"de linguae latinae usu","W5201","A3050"
"carmina varia (1810)","W2745","A5702"
"comentum super poema comedie dantis (i red.)","W4128","A2992"
"vicecomitum estensisque familiae veteris affinitatis, diuturnae amicitiae ac mutui praesidii memoria","W5203","A3056"
"expositio herculis furentis","W5186","A5699"
"expositio l. annaei senecae agamemnonis","W5179","A5699"
"contra philippum beroaldum bononiensem annotationes","W5195","A3056"
"fragmenta commentarii super comoediam dantis aldigherii","W4210","A3046"
"comentum super poema comedie dantis (iii red.)","W4093","A2992"
"elegie","W3975","A3010"
"epistola a sforza secondo","W3836","A3020"
"alfonseis","W3674","A5707"
"latinum sermonem olim promiscuum fuisse","W3241","A3069"
"de antiquitate linguae latinae","W3273","A3069"
"commento all'inferno di dante","W2868","A5714"
"elenchi di letture","W2744","A5702"
"esercitazioni latine (1809)","W2729","A5702"
"tractatio de perfectae poeseos ratione","W2024","A3073"
"epigrammata","W1924","A3012"
"ipercalisse","W1521","A3065"
"de dictis et factis alphonsi regis","W1285","A3024"
"alphonsi regis triumphus","W1298","A3024"
"spectacula lucretiana","W727","A3033"
"bucolica","W733","A3033"
"expositio seu comentum super ‘comedia’ dantis allegherii","W461","A5710"
"pastoralia","W5300","A5718"
"indiculus de haeresibus (dub.)","W891","A5096"
"adversus haereses (dub.)","W1261","A3143"
"biblia sacra vulgata","W848","A5096"
"versus de pugna fontanetica","W1872","A4580"
"carmina","W2502","A4886"
"atticus","W689","A5005"
"cato","W616","A5005"
"hannibal","W649","A5005"
"hamilcar","W641","A5005"
"reges","W662","A5005"
"timoleon","W691","A5005"
"phocion","W618","A5005"
"eumenes","W652","A5005"
