"Title","DLL Identifier (Work)","DLL Identifier (Author)"
"agesilaus","W701","A5005"
"pelopidas","W5143","A5005"
"epaminondas","W5135","A5005"
"datames","W684","A5005"
"timotheus","W674","A5005"
"chabrias","W669","A5005"
"iphicrates","W708","A5005"
"dion","W5139","A5005"
"conon","W5132","A5005"
"thrasybulus","W677","A5005"
"alcibiades","W672","A5005"
"lysander","W699","A5005"
"cimon","W5137","A5005"
"pausanias","W5131","A5005"
"aristides","W676","A5005"
"themistocles","W671","A5005"
"miltiades","W698","A5005"
"domitianus","W1550","A4799"
"divus titus","W1542","A4799"
"divus vespasianus","W1581","A4799"
"vitellius","W1572","A4799"
"otho","W1593","A4799"
"galba","W1556","A4799"
"nero","W1546","A4799"
"divus claudius","W1541","A4799"
"caligula","W1575","A4799"
"tiberius","W1595","A4799"
"divus augustus","W1559","A4799"
"divus iulius","W1548","A4799"
"de constantia","W1602","A4655"
"de consolatione ad marciam","W1598","A4655"
"de consolatione ad helviam","W1626","A4655"
"de consolatione ad polybium","W1649","A4655"
"de providentia","W1617","A4655"
"de tranquillitate animi","W1606","A4655"
"de vita beata","W1600","A4655"
"de brevitate vitae","W1652","A4655"
"de otio","W5273","A4655"
"de ira","W1592","A4655"
"de principio indiuiduationis (dub.)","W2","A4997"
"epistulae","W1317","A4743"
"carmina","W2483","A5355"
"historia","W334","A4346"
"propositiones ad acuendos iuvenes","W396","A5450"
"historia hierosolymitanae expeditionis","W4195","A5558"
"de amore et dilectione dei","W2968","A4755"
"sermones","W2942","A4755"
"liber consolationis et consilii","W2957","A4755"
"tractatus de arte loquendi et tacendi","W2947","A4755"
"passio sancti eadmundi regis et martyris","W176","A4767"
"epistula pauli ad laodicenses","W889","A5096"
"psalmus cli","W881","A5096"
"liber esdrae (sive ezrae) iiii","W878","A5096"
"liber esdrae (sive ezrae) iii","W871","A5096"
"oratio manasse","W862","A5096"
"apocalypsis","W853","A5096"
"epistula iudae","W885","A5096"
"epistula iohannis ii","W874","A5096"
"epistula iohannis i","W866","A5096"
"epistula petri ii","W857","A5096"
"epistula petri i","W888","A5096"
"epistula pauli ad hebraeos","W875","A5096"
"epistula pauli ad philemonem","W867","A5096"
"epistula pauli ad titum","W858","A5096"
"epistula pauli ad timotheum ii","W849","A5096"
"epistula pauli ad timotheum i","W879","A5096"
"epistula pauli ad thessalonicenses ii","W847","A5096"
"epistula pauli ad thessalonicenses i","W869","A5096"
"epistula pauli ad colossenses","W860","A5096"
"epistula pauli ad philippenses","W851","A5096"
"epistula pauli ad ephesios","W883","A5096"
"epistula pauli ad corinthios ii","W902","A5096"
"epistula pauli ad romanos","W925","A5096"
"liber actuum apostolorum","W886","A5096"
"epistula iohannis iii","W5253","A5096"
"epistula iacobi","W5254","A5096"
"epistula pauli ad galatas","W5252","A5096"
"epistula pauli ad corinthios i","W935","A5096"
"liber secundus macchabaeorum","W918","A5096"
"liber primus macchabaeorum","W909","A5096"
"zacharias","W901","A5096"
"aggaeus","W931","A5096"
"sophonias","W921","A5096"
"habacuc","W913","A5096"
"nahum","W947","A5096"
"michas","W906","A5096"
"ionas","W934","A5096"
"abdias","W924","A5096"
"amos","W915","A5096"
"ioel","W953","A5096"
"osee","W908","A5096"
"daniel","W937","A5096"
"ezechiel","W927","A5096"
"baruch","W917","A5096"
"lamentationes","W958","A5096"
"isaias","W893","A5096"
"liber iesu filii sirach sive ecclesiasticus","W930","A5096"
"liber sapientiae","W920","A5096"
"canticum canticorum","W912","A5096"
"ecclesiastes","W946","A5096"
"liber proverbiorum","W905","A5096"
"liber psalmorum","W933","A5096"
"iob","W923","A5096"
"esther","W914","A5096"
"iudith","W951","A5096"
"tobias","W907","A5096"
"liber esdrae (sive ezrae) secundus","W936","A5096"
"liber esdrae (sive ezrae) primus","W926","A5096"
"liber secundus paralipomenon","W916","A5096"
"liber primus paralipomenon","W956","A5096"
"liber regum tertius","W938","A5096"
"liber regum sive samuelis secundus","W929","A5096"
"liber regum sive samuelis primus","W919","A5096"
"ruth","W911","A5096"
"liber iudicum","W944","A5096"
"iosue","W904","A5096"
"numeri","W922","A5096"
"leviticus","W910","A5096"
"exodus","W942","A5096"
"genesis","W903","A5096"
"evangelium secundum iohannem","W969","A5096"
"evangelium secundum lucam","W968","A5096"
"evangelium secundum marcum","W962","A5096"
"evangelium secundum matthaeum","W928","A5096"
"malachias","W5249","A5096"
"hieremias","W5251","A5096"
"liber regum quartus","W5250","A5096"
"deuteronomium","W932","A5096"
"biblia sacra iuxta vulgatam versionem (appendix)","W864","A5096"
"biblia sacra iuxta vulgatam versionem (novum testamentum)","W855","A5096"
"biblia sacra iuxta vulgatam versionem (vetus testamentum)","W887","A5096"
"oratio (q. pompeius q.f.q.n. rufus)","W1603","A3460"
"orationes (q. caecilius metellus numid.)","W4071","A3527"
"carmina (quintus mucius scaevola)","W2840","A3536"
"comoedia (valerius, comoed.)","W1954","A3584"
"grammatica (sextus (vel spurius) ennius)","W1745","A3519"
"oratio (q. caecilius metellus maced.)","W1478","A3556"
"oratio (q. pompeius q.f.a.n. rufus)","W1389","A3420"
"orationes (publius clodius pulcher)","W518","A3652"
"iurisprudentia, fragmenta (q. mucius scaevola [pontifex])","W403","A4593"
"sententiae","W257","A4504"
"carmen (sentius augurinus)","W232","A3625"
"de agri cultura","W5351","A3400"
"grammatica (titius, gram.)","W2327","A3410"
"oratio (publius cornelius dolabella)","W2324","A3611"
"commentarii de bello civili","W3983","A3607"
"mimi (marullus)","W5197","A4630"
"antibucolica","W5095","A3521"
"fr. in fragmentis vaticanis (lucius neratius priscus)","W5040","A3598"
"grammatica (marcus verrius flaccus)","W4936","A3559"
"oratio (marcus calidius)","W4483","A3623"
"orationes (p. cornel. scipio nasica ser.)","W4203","A3635"
"etruscarum rerum libri","W3928","A3559"
"orationes (m. valerius messalla corvinus)","W3937","A3607"
"carmina (l. aurel. avianius symmachus)","W3436","A3622"
"epigramma (lucius verginius rufus)","W3292","A3573"
"carmina (manilius, poet.)","W3256","A3588"
"orationes (p. cornel. scipio aem. afr.)","W2915","A3615"
"orationes (lucius marcius philippus)","W2931","A3591"
"orationes (marcus antonius triumvir)","W2880","A3571"
"orationes (marcus porcius cato uticensis)","W2812","A3524"
"oratio (marcus duronius)","W2758","A3586"
"ilias cypria","W2761","A3451"
"oratio (lucius cassius longinus)","W2353","A3599"
"orationes (marcus porcius cato m.f.m.n.)","W2072","A3475"
"iurisprudentia (manius manilius)","W2070","A3664"
"orationes (m. aemilius lepidus porcina)","W1968","A3580"
"orationes (marcus caelius rufus)","W1857","A3577"
"carmina (lucilius iunior)","W1804","A3592"
"oratio (marcus iuventius laterensis)","W1601","A3542"
"carmina (parthenius presbyter)","W1537","A3547"
"commentarii (marcus iunius gracchanus)","W1496","A3533"
"carmen (marcus aurelius)","W1387","A4322"
"oratio (p. cornel. scipio afr. ma.)","W776","A3644"
"epigrammation (papinius, epigram.)","W755","A3525"
"carmina (paulus quaestor)","W654","A3650"
"de medicina, versio latina","W622","A3618"
"orationes (marcus antonius)","W473","A3417"
"orationes (lucius quinctius)","W397","A3464"
"tragoediae (lucius varius rufus)","W347","A3656"
"carmina (lucius varius rufus)","W343","A3656"
"orationes (lucius licinius crassus)","W209","A3610"
"orationes (marcus iunius brutus [tyr.])","W157","A3563"
"auspiciorum liber, fragmenta","W97","A3582"
"grammatica (lucius cincius alimentus)","W5237","A3575"
"mimus (lentulus, mimus)","W5364","A3543"
"iurisprudentia, fragmenta (marcus antistius labeo)","W3601","A3595"
"oratio (lucius herennius balbus)","W4322","A3457"
"iurisprudentia, fragmenta (laelius felix)","W4431","A3613"
"historiae (gaius licinius mucianus)","W5184","A3596"
"orationes (gaius sempronius gracchus)","W5183","A3616"
"carmina (imperator nero)","W4335","A3587"
"de littera (fragmenta bobiensia) (dub.)","W4274","A4777"
"praecepta (gnaeus marcius vates)","W4155","A3597"
"oratio (iulius africanus)","W3921","A3442"
"oratio (gaius vel lucius caepasius)","W3916","A3468"
"oratio (gaius erucius)","W3768","A3608"
"de re rustica (gnaeus tremelius scrofa)","W3788","A3572"
"orationes (gaius laelius sapiens)","W3738","A3589"
"carmen (gaius asinius gallus)","W3500","A3566"
"annales (fenestella)","W3469","A3621"
"grammatica (gaius asinius gallus)","W3481","A3566"
"astronomica","W3254","A3487"
"tragoediae (gracchus, trag.)","W3290","A3529"
"oratio (gaius calpurnius piso)","W3278","A3601"
"oratio (gaius papirius carbo)","W3276","A3560"
"palliatae (iuventius, comoed.)","W3232","A3570"
"fabulae","W3233","A3487"
"orationes (gaius scribonius curio pater)","W3237","A3624"
"historiae (iulius atherianus)","W2452","A3594"
"historiae (gallus antipater)","W2426","A3609"
"gai institutionum epitome","W2332","A3454"
"institutiones","W2278","A3454"
"institutionum fragmenta aegyptia","W2283","A3454"
"libri rerum romanarum","W2086","A3603"
"carmina (gaius valgius rufus)","W1858","A3581"
"fragmentum (gavius bassus)","W1777","A3590"
"de origine vocabulorum, frr.","W1772","A3590"
"oratio (helvius mancia)","W1666","A3606"
"iurisprudentia et al. (gaius trebatius testa)","W1436","A3574"
"oratio (gaius scribonius curio avus)","W1440","A3578"
"oratio (favorinus)","W1425","A3445"
"oratio (gaius titius)","W1332","A3600"
"carmina, fragmentum (fabius dossennus)","W1252","A3569"
"iurisprudentia (gaius ateius capito)","W1104","A3568"
"iurisprudentia (granius flaccus)","W663","A3579"
"oratio (gnaeus domitius ahenobarbus)","W644","A3539"
"carmen (dorcatius)","W356","A3567"
"orationes (gaius servilius glaucia)","W335","A3593"
"iurisprudentia, fragmenta (gaius aelius gallus)","W333","A3602"
"de verbis ad ius civile","W326","A3602"
"oratio (l. aemilius l.f.m.n. paulus)","W271","A3576"
"oratio (gaius papirius carbo arvina)","W310","A5635"
"iurisprudentia, fragmenta (gaius aquilius gallus)","W177","A3604"
"oratio (gaius aurelius cotta)","W129","A3620"
"digesta iustiniani","W3993","A5173"
"bellum hispaniense (dub.)","W4371","A4644"
"versus fortasse enniani (anonymi epici et lyrici) (dub.)","W1722","A3519"
"versus fortasse luciliani (anonymi epici et lyrici) (dub.)","W3411","A4618"
"de metris","W4107","A3447"
"rerum romanarum liber i","W4086","A3447"
"carminum fragmenta","W2965","A5237"
"carmina","W2960","A5237"
"de numeris simplicibus fragmentum","W606","A5390"
"de legitimis numeris fragmentum","W632","A5390"
"de modulatione fragmentum","W623","A5390"
"de nomine rhythmi fragmentum","W579","A5390"
"de postulatis fragmentum","W5235","A5390"
"de figuris fragmentum","W597","A5390"
"de formis fragmentum","W634","A5390"
"de geometrica fragmentum","W624","A5390"
"de terra fragmentum","W580","A5390"
"de stellis fixis et vagantibus fragmentum","W651","A5390"
"de caeli positione fragmentum","W642","A5390"
"de naturali institutione fragmentum","W664","A5390"
"prognosticum","W4542","A3489"
"epistula ad valentinianum imperatorem","W4336","A3477"
"de medicina (medicina plinii)","W1351","A3491"
"ars grammatica (asper minor) (dub.)","W5346","A3721"
"liber de aduerbio (in charisio)","W158","A3498"
"de pedibus","W215","A3507"
"de plantis duodecim signis et septem planetis subiectis","W1109","A3482"
"de physica","W1338","A3491"
"de physica excerpta codicis bamb. med. 1 ab önnerfors omissa","W1360","A3491"
"panegyricus dictus treueris ? a. 291 p. chr. (dub.)","W1501","A3505"
"panegyricus dictus maximiano et diocletiano (treueris a. 289 p. chr.) (dub.)","W1527","A3505"
"excerpta epaphroditi et vitruvii rufi","W1615","A3562"
"excerpta epaphroditi et vitruvii rufi","W1615","A5637"
"de cursu temporum","W1877","A5639"
"mulomedicina chironis","W2661","A3555"
"ad eunapium","W2717","A3502"
"synopsis ad eusthatium","W2741","A3502"
"liber medicinae","W2981","A5640"
"libellus de statibus","W3245","A3526"
"ars ueterinaria","W3423","A3511"
"σχήματα λόγου (schemata logou) olim de figuris factis per genetiuum casum","W3678","A3721"
"fragmentum (donatianus)","W3683","A3553"
"fluminis uaratio limitis repositio (gromaticum opus)","W3799","A3496"
"euporiston libri iii","W4194","A3493"
"de uesicae uitiis capitulum (dub.)","W4192","A3493"
"libri de physicis fragmentum","W4233","A3493"
"additamenta ad theodorum priscianum (dub.)","W4234","A3493"
"de simplici medicina liber (dub.)","W4189","A3493"
"de lapidibus","W4324","A3544"
"de lapidibus","W4324","A3532"
"epistula ad pentadium nepotem suum","W4342","A3477"
"medicorum placita in cod. bruxellensi","W4356","A3477"
"expositionis membrorum epitome anonyma altera uberior","W4346","A3477"
"excerpta: appendix apicii","W4362","A3477"
"epitome anonyma (quae gynaecia uocatur)","W4377","A3477"
"testimonia et fragmenta (cornelius labeo)","W4495","A3535"
"de natura humana","W4497","A3489"
"epistula ad maecenatem","W4487","A3489"
"de herbis femininis","W4506","A3583"
"de uictu (uersio libri primi)","W4504","A3489"
"epistula (e graeco uersa) ad antiochum regem","W4482","A3489"
"de conceptu (de morbis mulierum)","W4545","A3489"
"de obseruantia ciborum = de victu ii","W4527","A3489"
"de numeris septenariis","W4535","A3489"
"de aere aquis locis","W4553","A3489"
"aphorismi","W4563","A3489"
"commentaria in metra terentiana","W4950","A3517"
"panegyricus dictus iuliano imperatori (constantinopoli a. 362 p. chr.)","W5066","A3505"
"hermeneumata montepessulana (dub.)","W5173","A3857"
"chronica (chronographus anni cccliv)","W4340","A4898"
"laterculus","W2736","A4870"
"commentum de controversiis agrorum (dub.)","W405","A5421"
"hermeneumata monacensia (dub.)","W410","A3857"
"hermeneumata bruxellensia (dub.)","W406","A3857"
"liber de asse (dub.)","W5274","A4647"
"hermeneumata celtis","W402","A3857"
"hermeneumata einsidlensia (dub.)","W435","A3857"
"hermeneumata amploniana (dub.)","W399","A3857"
"hermeneumata vaticana (dub.)","W433","A3857"
"colloquium harleianum","W440","A3857"
"hermeneumata stephani (dub.)","W441","A3857"
"fragmenta taurinensia","W1102","A4258"
"fragmenta panegyrici prosa conscripti","W1173","A4965"
"glossae (dub.)","W1247","A4599"
"panegyricus dictus augustoduni a. 297-8","W1265","A5368"
"commentarius in vergilii eclogas et georgica","W1460","A4588"
"instituta artium","W1416","A4588"
"appendix probi (dub.)","W1417","A4588"
"de nomine","W1419","A4588"
"de ultimis syllabis liber","W1456","A4588"
"vita vergili (probiana)","W1458","A4588"
"res gestae alexandri macedonis","W1554","A5201"
"pauli diaconi epitome","W1925","A4966"
"scholia in horatium pseudacroniana (dub.)","W2383","A3146"
"dedicatio historiarum gothorum, vandalorum, sueborum ad sisenandum regem","W2575","A5183"
"herbarius","W2662","A4502"
"de herba uettonica (dub.)","W2742","A4274"
"laudatio funebris in honorem matidiae socrus; aliae orationis fragmentum","W2779","A4632"
"de hortis","W2841","A4890"
"fragmentum parisinum de uerbo","W3335","A5055"
"de ordinatione partium orationis (dub.)","W3419","A4565"
"de orthographia liber","W3466","A4565"
"de compositione et de numeris oratorum","W3631","A3517"
"ars grammatica (ps. asper) (dub.)","W3649","A3721"
"ars (de metris horatianis)","W3692","A5570"
"grammatica vergiliana","W3694","A3721"
"commentarii in verrinas (dub.)","W4072","A4670"
"commentarii in diuinationem in q. caecilium (dub.)","W4084","A4670"
"explanationes in artem donati (dub.)","W4290","A4777"
"de littera, de syllaba, de pedibus, de accentibus, de distinctione","W4266","A4777"
"de arte grammatica (ps. sergius) (dub.)","W4244","A4777"
"fragmentum de soloecismo et barbarismo (dub.)","W4988","A5127"
"scholia  in verg. ecl. et georg. bernensia","W5054","A5589"
"commentum de agrorum qualitate (dub.)","W5176","A5421"
"hermeneumata leidensia","W5175","A3857"
"peri hermeneias liber aristotelis latine uersus","W2881","A5469"
"catholica nominum et uerborum","W1434","A4588"
"asclepius (dub.)","W4931","A5463"
"flavi vopisci syracusii divus aurelianus (dub.)","W3585","A2990"
"trebelli pollionis valeriani duo (dub.)","W2417","A3091"
"commodus antoninus aeli lampridi (dub.)","W1361","A3117"
"trebelli pollionis gallieni duo","W5298","A3091"
"diadumenus antoninus aelii lampridii (dub.)","W1380","A3117"
"aeli lampridii antoninus heliogabalus (dub.)","W1385","A3117"
"avidius cassius vulcacii gallicani v.c. (dub.)","W1793","A5695"
"aeli spartiani severus (dub.)","W1970","A3016"
"pescennius niger aeli spartiani (dub.)","W1939","A3016"
"didius iulianus aeli spartiani (dub.)","W1966","A3016"
"antoninus geta aeli spartiani (dub.)","W1965","A3016"
"aelii spartiani de vita hadriani (dub.)","W1977","A3016"
"aelii spartiani aelius (dub.)","W1980","A3016"
"antoninus caracallus aeli spartiani (dub.)","W1982","A3016"
"trebelli pollionis tyranni triginta (dub.)","W2376","A3091"
"trebelli pollionis divus claudius (dub.)","W2385","A3091"
"flavi vopisci syracusii quadrigae tyrannorum (dub.)","W3570","A2990"
